country_code,country_name,indicator_code,indicator_name,year,value
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2023,6.92132238472385
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2022,9.36713222670811
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2021,6.08815281176316
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2020,5.29660923473831
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2019,4.44437946494116
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2018,4.32175867770079
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2017,6.86381501459532
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2016,6.40090045368644
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2015,5.36669399398079
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2014,5.40353538297499
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2013,5.54626698664435
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2012,6.20387787625781
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2011,9.74570998523772
AFE,Africa Eastern and Southern,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2010,5.88302203486953
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2023,3.43696324528173
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2022,6.18098458588585
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2021,4.64220371005912
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2020,1.88074835676156
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2019,1.35862850854981
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2018,2.15033893298982
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2017,1.87351915179922
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2016,1.736323129284
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2015,1.91155941571227
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2014,0.189777897218065
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2013,1.55401804889429
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2012,5.08156070785505
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2011,7.85258533901256
AFW,Africa Western and Central,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2010,5.36905277481954
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2023,1.34137848153398
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2022,12.6065501967487
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2021,12.992410308458
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2020,-0.283085004100215
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2019,1.60682389220305
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2018,7.04467101701975
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2017,4.82594649481846
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2016,0.920589535113145
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2015,-2.52687740338985
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2014,0.772588256655638
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2013,0.892752993063837
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2012,4.67972512554906
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2011,13.1672193726198
ARB,Arab World,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2010,12.0069509099953
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2023,3.04806745664039
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2022,5.49967706616517
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2021,2.55976826221331
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2020,-1.56597057647492
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2019,2.21003640142904
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2018,0.808677495052521
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2017,2.60222691978154
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2016,1.04975057589528
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2015,2.78009679969161
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2014,1.15760527763321
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2013,1.96365324475063
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2012,1.4715072414605
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2011,2.35832924461934
CSS,Caribbean small states,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2010,3.11039463821389
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2023,9.86569270234997
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2022,10.689577427514
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2021,5.34023602800748
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2020,2.40777956608554
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2019,3.8226798680774
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2018,3.59301167619761
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2017,2.70923995206107
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2016,0.987472424308564
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2015,1.23453645859612
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2014,1.34078287386647
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2013,1.13279718785073
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2012,2.18343357394524
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2011,3.06571454649757
CEB,Central Europe and the Baltics,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2010,0.920113149429753
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2023,4.80427142694981
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2022,8.05446050274443
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2021,6.00397322136207
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2020,3.21740233241114
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2019,3.10800837414914
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2018,3.81832356943335
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2017,4.29267812199525
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2016,2.51784593601241
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2015,3.13925995519007
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2014,4.01793099002016
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2013,4.03979089350075
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2012,4.97847501671956
EAR,Early-demographic dividend,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2011,7.96628942136113
